original,corregido
"АД ФК Башкими 1947 Куманово","Башкими"
"ГФК Тиквеш 1930 АД Кавадарци","Тиквеш"
"ФК АРЕСИМИ 1973 АД","Арсими"
"ФК ВАРДАР АД","Вардар"
"ФК МАКЕДОНИЈА ГЈ.П 1932 АД","Македонија ЃП"
"ФК ПЕЛИСТЕР АД","Пелистер"
"ФК РАБОТНИЧКИ АД","Работнички"
"ФК СИЛЕКС АД","Силекс"
"ФК СТРУГА-ТРИМ-ЛУМ АД","Струга Трим Лум"
"ФК ШКЕНДИЈА АД","Шкендија"
"ФК ШКУПИ- 1927 АД","Шкупи"
"Фк Ап Брера Струмица Ад","АП Брера"
"ГФК ВАРДАР Неготино","Вардар Неготино" 
"ГФК ОСОГОВО","Осогово" 
"ГФК ОХРИД ЛИХНИДОС","Охрид Лихнидос" 
"ЗГ ФК КУМАНОВО","Куманово" 
"ЗС ОВЧЕ ПОЛЕ","Овче Поле" 
"ЗФК Схкендија Арачиново 77","Шкендија Аранчиново" 
"Зфк Новаци 2005","Новаци" 
"ОФК МАЛЕШ","Малеш" 
"ФК ЉУБОТЕН","Љуботен" 
"ФК ЊУ СТАРС","Њу Старс"
"ФК Аеродром 2018","Аеродром" 
"ФК БАШКИМИ ЉУБОТЕН","Башкими Љуботен"
"ФК БВК КОЊАРЕ","БВК Коњаре" 
"ФК БЕСА - Скопје","Беса Сарај" 
"ФК БЕСА с.Слупчане","Беса Слупчане" 
"ФК БОРЕЦ1919 АД","Борец" 
"ФК Брегалница 1926","Брегалница 1926" 
"ФК Бучин","Бучин" 
"ФК ВАРДАР 2022 с.Брвеница","Вардар Брвеница" 
"ФК ВЕНЕЦс.Долни Дисан","Венец" 
"ФК ВЛАЗЕРИМИ Ј 1977","Влазерими Ј" 
"ФК ВЛАЗНИМИ","Влазними" 
"ФК Велешта Унитед","Велешта Јунајтед" 
"ФК Влазними Јуниор","Влазними Јуниор" 
"ФК ГОЛЕМО КОЊАРИ","Големо Коњари" 
"ФК ДЕМИР ХИСАР","Демир Хисар" 
"ФК ДОЈРАНСКО ЕЗЕРО","Дојранско Езеро" 
"ФК ДОБРОШТИ","Доброшти" 
"ФК ДРЕНОВО 2016","Дреново" 
"ФК ДРИТА 94","Дрита" 
"ФК ЕУРОМИЛК ГЛ АД","Еуромилк" 
"ФК ЗАЈАЗИ","Зајази" 
"ФК КАДИНО","Кадино" 
"ФК КАМЈАНИ","Камјани" 
"ФК КАРАОРМАН","Караорман" 
"ФК КОЖУФ ГЕВГЕЛИЈА","Кожуф" 
"ФК КОРАБИ","Кораби" 
"ФК КРАВАРИ","Кравари" 
"ФК ЛОПАТИ 97","Лопати"
"ФК МЛАДОСТ 1930","Младост 1930" 
"ФК МЛЕКАР","Млекар" 
"ФК Могила 2023","Могила" 
"ФК НАПРЕДОК 1928 Кичево","Напредок Кичево" 
"ФК НАПРЕДОК с.Ношпал","Напредок Ношпал" 
"ФК ОТЉА","Отља"
"ФК ПИТУ ГУЛИ","Питу Гули" 
"ФК ПОБЕДА АД","Победа" 
"ФК ПРЕСПА","Преспа" 
"ФК ПЧИЊА 2015","Пчиња" 
"ФК РЕНОВА АД","Ренова" 
"ФК РЖАНИЧИНО","Р'жаничино"
"ФК РОСОМАН-83","Росоман 83" 
"ФК РУДАР 1947 Пробиштип","Рудар" 
"ФК СКЕНДЕРБЕУ","Скендербеу" 
"ФК СКОПЈЕ АД","Скопје" 
"ФК СЛАВЕЈ с.Мешеишта","Славеј" 
"ФК СЛОГА 1934","Слога 1934" 
"ФК Студеничан","Студеничан" 
"ФК ТЕТЕКС 1953","Тетекс" 
"ФК ТИВЕРИЈА","Тиверија" 
"ФК ТОПОЛКА","Тополка" 
"ФК УДАРНИК","Ударник" 
"ФК УЛТРАС","Ултрас" 
"ФК ФОРТУНА 1975","Фортуна" 
"ФК ФЦДЈЕПЧИШТИ 1996","Џепчишти" 
"ФК ХОРИЗОНТ ТУРНОВО АД","Хоризонт" 
"Фк Беласица Ад","Беласица" 
"Фк Брегалница 2008 Ад","Брегалница" 
"Фк Детонит Плачковица","Детонит Плачковица" 
"Фк Каменица Саса","Каменица Саса" 
"Фк Карбинци","Карбинци" 
"Фк Превалец","Превалец" 
"Фк Речица","Речица Тетово" 
"Фк Света Троица 2021","Света Троица" 
"Фк Светлост Зрновци","Светлост Зрновци"
"""Гостивари"" Гостивар","Гостивари"
"ЗГ ФК Врановци","Врановци"
"ЗГ ФК РАШТАНИ СПОРТ 2025","Раштани Спорт"
"Зфк Новаци 2011","Новаци 2011"
"ФК ЈАНГ БОИС","Јанг Бојс"
"ФК ЈЕНИ-МААЛЕ СПОРТ","Јени Маале Спорт"
"ФК ЈОУНГ СТАР Гостивар","Јанг Стар"
"ФК ЈУНИОР с.Доброшане","Јуниор"
"ФК БАИР СПОРТ","Баир Спорт"
"ФК БЕСА Добридол","Беса Добри Дол"
"ФК БИРЛИК с.Дедели","Бирлик"
"ФК БРАТСТВО с.Лјубин","Братство"
"ФК ВАРДАР МАР","Вардар Мар"
"ФК ВАРДАР с.Форино","Вардар Форино"
"ФК ВЛАЗНИМИ с.Оризари","Влазними Оризари"
"ФК ГЕНЧ КАЛЕМЛЕР СПОРТ","Генч Калемлер Спорт"
"ФК ДОЛНО КОЊАРИ","Долно Коњари"
"ФК ДОСК","ДОСК"
"ФК Далбеговци","Далбеговци"
"ФК ИЛИНДЕН","Илинден"
"ФК ИНДЈИКОВО","Инџиково"
"ФК КАРПОШ 93","Карпош 93"
"ФК КОЗЈАК с.Старо Нагоричане","Козјак"
"ФК КОСТУРНИК","Костурник"
"ФК КРОШУ СПОРТ Битола","Крошу Спорт"
"ФК КУМАНОВА-МИЛАНО 2010","Куманова-Милано 2010"
"ФК ЛИКОВА","Ликова"
"ФК ЛИСОЛАЈ","Лисолај"
"ФК ЛОЈАНЕ","Лојане"
"ФК МАДЈАРИ СОЛИДАРНОСТ-ЈУНИОР","Маџари Солидарност-Јуниор"
"ФК МАКЕДОНИЈА АГИНО","Македонија Агино"
"ФК МАТЕЈЧЕ","Матејче"
"ФК МЛАДОСТ 1976","Младост 1976"
"ФК МЛАДОСТ МФКУ","Младост МФКУ"
"ФК МЛАДОСТ с.Горно Оризари","Младост Горно Оризари"
"ФК МЛАДОСТ с.Корешница","Младост Корешница"
"ФК МЛАДОСТ с.Удово","Младост Удово"
"ФК Марино 2024","Марино"
"ФК НАПРЕДОК 65-ШУТКА","Напредок 65"
"ФК НАПРЕДОК с.Војшанци","Напредок Војшанци"
"ФК ОЛД БОЈС","Олд Бојс"
"ФК ОПАЕ","Опае"
