mk,sq,es,en
Ѓељбрим Џемаили,Gjelbrim Xhemaili,Gjelbrim Xhemaili,Gjelbrim Xhemaili
Ѓорѓе Белиќ,Gjorgje Belić, Gjorgje Belić, Gjorgje Belić
Јани Пажиќ,Jani Pažić,Jani Pažić,Jani Pažić
Јасин Љатифи,Jasin Latifi,Jasin Latifi,Jasin Latifi
Јасин Џемаили,Jasin Xhemaili,Jasin Xhemaili,Jasin Xhemaili
Јасир Беќири,Jasir Beqiri,Jasir Beqiri,Jasir Beqiri
Јасир Каљиси,Jasir Kalisi,Jasir Kalisi,Jasir Kalisi
Јасир Реџепи,Jasir Rexhepi,Jasir Rexhepi,Jasir Rexhepi
Јасмин Мециновиќ,Jasmin Mecinović,Jasmin Mecinović,Jasmin Mecinović
Јасмин Шкријељ,Jasmin Škrijelj,Jasmin Škrijelj,Jasmin Škrijelj
Јацк Лушиновски Давид,Jack Lušinovski David,Jack Lušinovski David,Jack Lušinovski David
Јашар Мемеди,Jashar Memedi,Jashar Memedi,Jashar Memedi
Јашко Селим,Jaško Selim,Jaško Selim,Jaško Selim
Јетон Џеладини,Jeton Xheladini,Jeton Xheladini,Jeton Xheladini
Јетон Беќири,Jeton Beqiri,Jeton Beqiri,Jeton Beqiri
Јилмаз Шкодриќи,Jilmaz Shkodriqi,Jilmaz Shkodriqi,Jilmaz Shkodriqi
Јоакин Торес,Joaquín Torres,Joaquín Torres,Joaquín Torres
Јован Јовановиќ,Jovan Jovanović,Jovan Jovanović,Jovan Jovanović
Јован Павловиќ,Jovan Pavlović,Jovan Pavlović,Jovan Pavlović
Јован Стојковиќ,Jovan Stojković,Jovan Stojković,Jovan Stojković
Јовица Радовановиќ,Jovica Radovanović,Jovica Radovanović,Jovica Radovanović
Јовица Стојковиќ,Jovica Stojković,Jovica Stojković,Jovica Stojković
Јосе Еступињан,José Estupiñán,José Estupiñán,José Estupiñán
Југослав Тасиќ,Jugoslav Tasić,Jugoslav Tasić,Jugoslav Tasić
Јусуф Љазими,Jusuf Lazimi,Jusuf Lazimi,Jusuf Lazimi
Јусуф Аљиу,Jusuf Aliu,Jusuf Aliu,Jusuf Aliu
Љабинот Аземи,Labinot Azemi,Labinot Azemi,Labinot Azemi
Љабинот Бељули,Labinot Beluli,Labinot Beluli,Labinot Beluli
Љабинот Муслиу,Labinot Musliu,Labinot Musliu,Labinot Musliu
Љавдрим Јашари,Lavdrim Jashari,Lavdrim Jashari,Lavdrim Jashari
Љавдрим Ибрахими,Lavdrim Ibrahimi,Lavdrim Ibrahimi,Lavdrim Ibrahimi
Љавдрим Салихаси,Lavdrim Salihasi,Lavdrim Salihasi,Lavdrim Salihasi
Љаурант Лимани,Laurant Limani,Laurant Limani,Laurant Limani
Љеард Амети,Leard Ameti,Leard Ameti,Leard Ameti
Љеарт Џафери,Leart Xhaferi,Leart Xhaferi,Leart Xhaferi
Љеарт Абдуљи,Leart Abduli,Leart Abduli,Leart Abduli
Љеарт Бошњак,Leart Boshnjak,Leart Boshnjak,Leart Boshnjak
Љеонит Ајдари,Leonit Ajdari,Leonit Ajdari,Leonit Ajdari
Љиндрит Ќазими,Lindrit Qazimi,Lindrit Qazimi,Lindrit Qazimi
Љиндрит Ајрули,Lindrit Ajruli,Lindrit Ajruli,Lindrit Ajruli
Љиндрит Исљами,Lindrit Islami,Lindrit Islami,Lindrit Islami
Љиндрит Мурати,Lindrit Murati,Lindrit Murati,Lindrit Murati
Љиридон Демири,Liridon Demiri,Liridon Demiri,Liridon Demiri
Љиридон Реџепи,Liridon Rexhepi,Liridon Rexhepi,Liridon Rexhepi
Љиридон Сулејмани,Liridon Sulejmani,Liridon Sulejmani,Liridon Sulejmani
Љирим Абази,Lirim Abazi,Lirim Abazi,Lirim Abazi
Љирим Исмаиљи,Lirim Ismaili,Lirim Ismaili,Lirim Ismaili
Љирим Поцеста,Lirim Pocesta,Lirim Pocesta,Lirim Pocesta
Љирјон Дестани,Lirjon Destani,Lirjon Destani,Lirjon Destani
Љирјон Селмани,Lirjon Selmani,Lirjon Selmani,Lirjon Selmani
Љис Имери,Lis Imeri,Lis Imeri,Lis Imeri
Љорик Аљими,Lorik Alimi,Lorik Alimi,Lorik Alimi
Љорик Даипи,Lorik Daipi,Lorik Daipi,Lorik Daipi
Љуан Алиу,Luan Aliu,Luan Aliu,Luan Aliu
Љубе Тасиќ,Ljube Tasić,Ljube Tasić,Ljube Tasić
Љубиша Антиќ,Ljubiša Antić,Ljubiša Antić,Ljubiša Antić
Љумтон Исмаили,Lumton Ismaili,Lumton Ismaili,Lumton Ismaili
Љупчо Марковиќ,Ljupčo Marković,Ljupčo Marković,Ljupčo Marković
Љутфи Шерифи,Lutfi Sherifi,Lutfi Sherifi,Lutfi Sherifi
Ќазим Љимани,Qazim Limani,Qazim Limani,Qazim Limani
Ќазим Зимбери,Qazim Zimberi,Qazim Zimberi,Qazim Zimberi
Ќазим Реџепи,Qazim Rexhepi,Qazim Rexhepi,Qazim Rexhepi
Ќани Џемаили,Qani Xhemaili,Qani Xhemaili,Qani Xhemaili
Ќемал Несими,Qemal Nesimi,Qemal Nesimi,Qemal Nesimi
Ќемаљ Емини,Qemal Emini,Qemal Emini,Qemal Emini
Ќендрим Абази,Qendrim Abazi,Qendrim Abazi,Qendrim Abazi
Ќендрим Ајдини,Qendrim Ajdini,Qendrim Ajdini,Qendrim Ajdini
Ќендрим Аљиљи,Qendrim Alili,Qendrim Alili,Qendrim Alili
Ќендрим Бекири,Qendrim Bekiri,Qendrim Bekiri,Qendrim Bekiri
Ќерем Хамзаи,Qerem Hamzai,Qerem Hamzai,Qerem Hamzai
Ќерим Бекири,Qerim Bekiri,Qerim Bekiri,Qerim Bekiri
Џабир Азири,Xhabir Aziri,Xhabir Aziri,Xhabir Aziri
Џан Имери,Xhan Imeri,Xhan Imeri,Xhan Imeri
Џан Тотре,Xhan Totre,Xhan Totre,Xhan Totre
Џан Шабан Расим,Can Şaban Rasim,Can Şaban Rasim,Can Şaban Rasim
Џафер Несими,Xhafer Nesimi,Xhafer Nesimi,Xhafer Nesimi
Џахит Хусејни,Xhahit Husejni,Xhahit Husejni,Xhahit Husejni
Џеват Шахсивари,Xhevat Shahsivari,Xhevat Shahsivari,Xhevat Shahsivari
Џевдет Идризи,Xhevdet Idrizi,Xhevdet Idrizi,Xhevdet Idrizi
Џевдет Ракипи,Xhevdet Rakipi,Xhevdet Rakipi,Xhevdet Rakipi
Џезаир Авдули,Xhezair Avduli,Xhezair Avduli,Xhezair Avduli
Џелал Јашар,Xhelal Jashar,Xhelal Jashar,Xhelal Jashar
Џелил Абдула,Xhelil Abdula,Xhelil Abdula,Xhelil Abdula
Џем Ахмед,Cem Ahmed,Cem Ahmed,Cem Ahmed
